symbol,window_size_mean,drift_degree,step_mean,time_series,p_norm,cumulant_1_mean,error_cumulant_1_mean,tfs_param_mean,error_tfs_param_mean,drift_coefficient_0_mean,error_drift_coefficient_0_mean,average_error_mean,rsquared_mean,window_size_variance,step_variance,cumulant_1_variance,error_cumulant_1_variance,cumulant_2_variance,error_cumulant_2_variance,tfs_param_variance,error_tfs_param_variance,drift_coefficient_1_variance,error_drift_coefficient_1_variance,average_error_variance,rsquared_variance
AUD=X,158,0,4266,absolute log-return,1,-2.9286437722154388e-06,3.4152330787298337e-07,0.0017941731199414923,0.00027193915918994184,0.0020078671323888455,0.0015475961261098064,0.0011727763880055267,0.7472639900537327,210,4200,0.00027082086177786696,1.4610659975775208e-05,0.00022547132329268975,1.59182381511398e-05,0.08285702205813997,0.0017406047359053308,-0.46010986938874604,0.006638243258423409,0.0003752487158980888,0.9943196027468219
AUD=X,197,0,4334,log-return,1,9.807117941633373e-08,1.3518242946913736e-08,-3.893084974583831e-05,1.0290012104349222e-05,-1.6110032012478856e-05,5.805672314040503e-05,4.491857425037889e-05,0.7385098300724385,210,4200,0.0002726805594288407,1.4846218372825683e-05,0.00022855676310755196,1.6285305223145377e-05,0.08342080910383963,0.0017687071218612754,-0.46329719334809555,0.006744251441023492,0.00038270774660574373,0.9942176443991495
AUD=X,152,0,4256,log-return volatility,1,-2.1364397703145323e-05,1.5562167174793971e-06,0.02928312936492839,0.0012492444575690257,0.00804695465947883,0.007119042910282097,0.005991431747940966,0.95640424397959,210,4200,0.0005233383767327057,3.206073513886094e-05,0.000879689993665334,6.934882112576963e-05,0.16695427033604712,0.0037633627280612082,-0.9451408309191828,0.013957627997750554,0.001521207355731935,0.9943761546943067
BHDUSD=X,201,0,5025,absolute log-return,1,-1.9668535249126968e-06,1.2713940801811574e-07,0.004504842739367359,0.00023350926000518802,-0.023263349947435886,0.001485317844548216,0.00021439387232637303,0.9594553512141734,208,4992,0.03679174057320906,65261.966387442604,-1.5758800769500325e-06,4.908768933590045e-06,-5.381704652439625e-06,9.546168143877734,6.782822317032651,12031404.28079804,0.00013306292004621628,0.6876085703890511
BHDUSD=X,203,0,5075,log-return,1,1.8880127186188206e-09,2.579377018290452e-09,-1.3707672482087383e-05,4.560410439977867e-06,0.0001087242477253664,2.8803294675520874e-05,3.7194413291556264e-06,0.6335259056612452,208,4992,0.03304538061594345,28208.4768350666,-1.2737118641382534e-06,2.2232086304502454e-06,-4.9701306977268025e-06,4.242638909522383,6.186942165771649,5281301.733051152,0.00013503488867023264,0.6870939353735905
BHDUSD=X,203,0,5075,log-return volatility,1,-6.206005761139474e-06,3.5819874685707495e-06,0.02218385037984424,0.006333053380174948,0.2738235407694373,0.03999920747989584,0.005415827643752286,0.5668428225594175,210,5040,0.6398101412632351,251580.95236518636,0.00021678642890971355,7.659869146329358e-05,3.7423471190068006e-05,14.720455078513313,54.27368723529372,21341219.3334621,0.007256342769928197,0.6843803217737909
BRL=X,216,0,4536,absolute log-return,1,-6.329928696491744e-07,8.386758420065457e-08,0.0012865704136951865,6.361759846757568e-05,-1.720480272247837e-05,0.0003571958988136139,0.000264455336243368,0.965571337658434,216,4536,2.333574547720539e-05,3.4902498026413756e-06,2.060743501634252e-06,3.8426818086431237e-07,0.008692181502910085,0.0004200299727679101,-0.05249622392910761,0.0014308593123726835,8.050912589519548e-06,0.9840011238991763
BRL=X,196,0,4508,log-return,1,3.28751331959185e-07,5.221956985386626e-08,-0.00010007488251622483,4.171663015929385e-05,-0.00023889946107647533,0.0002374884330933779,0.00017097289643836365,0.6974362266235474,216,4536,2.109672896391846e-05,5.073503267023094e-06,1.7731721393683556e-06,5.235951791638202e-07,0.008273092055293686,0.0006013156607456842,-0.052070579707010796,0.0019002203741983936,1.1522875962154494e-05,0.9713734932247118
BRL=X,220,0,4400,log-return volatility,1,-0.00021427933230582606,1.690184266484099e-05,0.3657417473659924,0.01267648957036748,0.057526965444855443,0.07125684049910994,0.050866726062035565,0.9814801917694783,216,4536,-0.0010297427315000681,0.0014555321229666705,-0.0018063133376971597,0.0017104998097909915,0.1831321212108624,0.08874298949074721,-2.891275132290981,0.5762310478548924,0.03647999962749854,0.9744493058580088
CAD=X,245,0,4900,absolute log-return,1,-4.0775661463242475e-07,6.095882359603395e-08,0.0007120400070932545,4.8505802536072974e-05,4.325514253615319e-05,0.00027615302234745875,0.00017579226465415826,0.9343050120372189,222,4884,1.0273159215315131e-05,1.41310302859808e-06,1.3946232704855146e-07,5.413947541114527e-08,0.0014386297250963992,0.0003808982267969472,-0.007703043320726614,0.0016298517076665064,1.6734382552165881e-06,0.8025330597037228
CAD=X,253,0,5060,log-return,1,8.181277022134078e-08,7.393797422722363e-09,-4.0191286692322574e-05,6.282139623245379e-06,-1.3659895233560205e-05,3.6104243193680016e-05,2.907936236311263e-05,0.8752681501513484,243,4860,1.3921975365608578e-05,2.2275239003222966e-06,2.8970035291549763e-07,1.1422183749105913e-07,0.0021947484302888448,0.0005325306336091541,-0.012220866493726003,0.0021833193561365785,3.233531322012074e-06,0.8326408933914012
