symbol,window_size_mean,drift_degree,step_mean,time_series,p_norm,cumulant_1_mean,error_cumulant_1_mean,tfs_param_mean,error_tfs_param_mean,drift_coefficient_0_mean,error_drift_coefficient_0_mean,average_error_mean,rsquared_mean,window_size_variance,step_variance,cumulant_1_variance,error_cumulant_1_variance,cumulant_2_variance,error_cumulant_2_variance,tfs_param_variance,error_tfs_param_variance,drift_coefficient_1_variance,error_drift_coefficient_1_variance,average_error_variance,rsquared_variance
IMOEX.ME,123,0,2460,absolute log-return,1,-1.7179038672283925e-06,2.684661800144819e-07,0.0015172815442046023,0.00012006597222468112,0.0003248023334141166,0.0006120899616439584,0.0004965696286193613,0.9074321783984615,111,2442,0.047663547527303674,18269.565753658746,-8.115628997745376e-07,3.7858628548487086e-07,-2.1141310277000077e-06,0.8103515301646884,12.198053845770142,4675536.663959298,2.1153161637626415e-05,0.5774438078776059
IMOEX.ME,8,0,2472,log-return,1,-3.532923831506555e-07,4.288003151165584e-08,0.000557703070462366,2.9720268723828813e-05,-0.003189126423857165,0.00016035002739185283,0.00012076075298369122,0.6503524968142796,123,2460,0.05280290356864653,32081.44589877221,-1.102459170935944e-06,6.64953248843905e-07,-2.503184108958507e-06,1.5215691687839226,19.053212884454304,11576131.948407484,2.364281341386988e-05,0.6441144031174373
IMOEX.ME,118,0,2360,log-return volatility,1,-0.0002935311295427397,3.905497721658204e-05,0.26371760739071864,0.01683583163691293,0.07907492604581215,0.08520036202721398,0.06450007479196829,0.9392225241080623,123,2460,-0.5359052606346423,37948.20870435781,-0.0021086248041765933,0.0024870991965139223,0.00046594098482437334,33.03143488759267,-248.79760660817342,17617176.590852037,0.038334972973507804,0.8202241694074778
^BVSP,1,0,7405,absolute log-return,1,-1.0127675221713452e-06,1.8843032311452025e-08,-0.002068351377358561,4.071136783262036e-05,0.03976847047489808,0.00026446731550895886,0.0009378638659960517,0.8505648271201488,230,7360,-1.317590499498564e-05,6.0210881688069896e-06,-5.281882015162622e-07,1.7374066640976357e-07,0.004064466792000285,0.0005653848214120226,-0.05380731246955726,0.0017811167184837203,9.374318877039225e-06,0.9899997885625909
^BVSP,1,0,7405,log-return,1,5.47043276397471e-07,1.6529083082229064e-08,-0.0044627773419962016,3.571195797477528e-05,0.0367347697863487,0.00023199037952033755,0.0005234961321116928,0.8412490457940489,312,7176,-5.585743501240373e-06,9.108396594040841e-06,-4.0327745499822147e-07,7.175835763527428e-07,0.0084775119167029,0.001130361672608476,-0.08019969970461226,0.0013295434791825227,2.3877885263019725e-05,0.984019532564022
^BVSP,365,0,7300,log-return volatility,1,-0.00023991919803699843,3.461546815678677e-05,0.4336053286745343,0.04082601700215091,0.20094007706003272,0.24812597497198297,0.17316089675165683,0.8627639856997813,312,7176,0.0002127298462409154,0.0002389896307513695,0.001252409261573408,0.0012447496941357902,0.48665075043705597,0.034156854459924675,-4.0977210323393125,0.06949091267640868,0.04234470560803614,0.9917078721889206
^DJI,378,0,7560,absolute log-return,1,6.606348963216584e-08,6.244534703291151e-08,0.0008368163472849007,7.599648854629658e-05,-0.0001834728061122991,0.000464279228855388,0.0003539785073404889,0.9366005750504534,385,7700,1.1437151563662693e-05,1.1898424841347534e-06,2.508978075139088e-07,8.554128414315498e-08,0.0021627499534712163,0.0005782775733852706,-0.010988234724444768,0.003197369874465959,3.838708109588855e-06,0.951458088917469
^DJI,342,0,7866,log-return,1,-4.8340865995084145e-08,1.0180459456596096e-08,7.067917055294489e-05,1.340696280729037e-05,-1.68134821972795e-05,8.313617940519324e-05,6.512783327585306e-05,0.588922803746794,385,7700,1.6247041419562067e-05,1.4069759542370103e-06,5.000897202247677e-07,1.4407151998000645e-07,0.003056731839029418,0.0006891090588562126,-0.015920944805734978,0.0037230052170349206,6.558649577844402e-06,0.954437163856275
^DJI,392,0,7840,log-return volatility,1,-0.0001507783537978767,2.103944682105389e-05,0.6998250676631971,0.02645409574937251,0.12144458314478736,0.16248200922396203,0.10082906528955607,0.9811414500880227,385,7700,0.002983491933881171,0.0003065626319133543,0.020211746407810326,0.005325192999487793,0.6688881396432756,0.11639878374853978,-3.902199880455806,0.5569353106296137,0.23973660787936485,0.9643007754117331
^FCHI,418,0,8360,absolute log-return,1,-2.648135105157687e-07,5.815540854340549e-08,0.0013027009431665776,7.745941698765101e-05,0.0002014032202675563,0.0004802476949173405,0.00032899117115367803,0.954456354326428,392,8232,1.2535184874322803e-05,8.486115523739087e-07,5.78885582558123e-07,6.620717927557079e-08,0.004436324791101686,0.00022808464379314418,-0.02633206649124076,0.0010946508400833483,3.2986070586889965e-06,0.9682238501966256
^FCHI,113,0,8362,log-return,1,-1.630055941391634e-08,1.3125730599915377e-08,9.787933620956689e-05,2.4869470053271028e-05,-0.0005787766083275039,0.00016190639624657848,9.836156756537125e-05,0.23907457229901163,392,8232,1.6873505346366172e-05,1.2539483852817715e-06,1.0069441836533706e-06,1.303379280248289e-07,0.005767146664475284,0.0003454014507706238,-0.03499157048813254,0.0016128080148380178,6.10650598528086e-06,0.9673687070541765
^FCHI,419,0,8380,log-return volatility,1,-0.00018669259673195537,3.310191938102745e-05,0.7754472498474713,0.044184375597263244,0.2076887057418175,0.27403801670166955,0.17144727891690997,0.955599397335327,392,8232,0.0029676026645097434,0.00020980069086462097,0.03227759075200243,0.003873731526968746,1.049119462068443,0.056431130708140674,-6.499403991065996,0.25640066466071115,0.1855514143129537,0.9766281405527396
^FTSE,479,0,9580,absolute log-return,1,-1.308418056425366e-07,4.1149388276910745e-08,0.0009482451447768295,5.9602594736751346e-05,0.00019573371459190452,0.00037478517483303654,0.00026716306381563534,0.9555707760453694,479,9580,0.021442308675390858,40316.8087490925,-1.559261703306331e-08,2.240340142537312e-08,-8.1138623250485e-08,0.15256054251614215,81.97703413235647,154136957.6008709,4.67076789105243e-06,0.8383114516093739
^FTSE,384,0,9600,log-return,1,-6.164515449751531e-08,4.475995106692137e-09,7.681598697285665e-05,7.024865493110324e-06,3.0243992894951206e-05,4.50939455690004e-05,3.6855898115613446e-05,0.8981595597567913,479,9580,-0.0013626952231205417,355.4582379161658,-3.621517787963958e-08,1.241655346756346e-07,2.8466095777726684e-06,0.7429212928145001,-5.105534785438341,1331751.841637422,7.516451682446286e-06,0.8928635262720552
^FTSE,479,0,9580,log-return volatility,1,-0.00011596394629839639,2.4040139650768858e-05,0.7120601731643682,0.0348208014464079,0.15261174672866284,0.21895557702152096,0.14307179786757834,0.9714047812464066,479,9580,0.00026061600785127744,0.0013930729997677098,0.00139155485640886,0.006502132227489568,0.3990135908956804,0.2797094145351655,-4.489137183131008,0.2581312956551066,0.3505535520864491,0.9258186406921065
^GDAXI,445,0,8900,absolute log-return,1,-1.4988460245539083e-07,6.911566440254462e-08,0.0012256538484618626,9.737933698307559e-05,0.0001594553825726963,0.000609252355953603,0.00042043101156479044,0.9297253775166503,445,8900,8.798233785673506e-06,2.722519328292703e-06,1.934410792610897e-07,1.6286502797567006e-07,0.0021469779145857387,0.001242187437129298,-0.014836854779962416,0.0049959629492609394,7.3895531428705805e-06,0.8553337091629624
^GDAXI,8,0,8904,log-return,1,2.5586034546082888e-08,3.6587423206873516e-09,-0.0002729788645054428,9.293654644086665e-06,0.0025662463079722383,6.195009519387507e-05,8.314904608045705e-05,0.6582307427584819,445,8900,1.354211412351e-05,3.3666387775921637e-06,5.540734239815854e-07,2.9767169245193743e-07,0.00397516307939998,0.0012262217173910715,-0.025653623520218483,0.00548265427193536,1.2768332595423882e-05,0.8660936398290221
^GDAXI,445,0,8900,log-return volatility,1,-0.00012739876516614567,1.714265651893491e-05,0.6987425598174005,0.024152851461632468,0.10541518906258882,0.15111198304713466,0.09955799429230969,0.9843365376299521,445,8900,0.0020634148470661854,0.0005239588710772978,0.013492218611812644,0.007055782466802143,0.636093236388456,0.18163981691811268,-4.392001362787665,0.7315945153644753,0.3142751851774748,0.9035546401639968
^GSPC,914,0,23764,absolute log-return,1,-4.196535242129057e-07,5.799066019042277e-08,0.0014831981016591876,0.00020927429359594607,0.000932899140843387,0.001507428740893507,0.0012127529522943119,0.7457787179933157,1163,23260,-7.337292936193178e-06,2.7039379962653435e-06,-1.630849918381647e-07,2.6335932009397367e-08,0.0020547807871543304,0.00044487358558998696,-0.03802388549186594,0.0025623068413176383,2.85729607307115e-06,0.9954642579777686
