symbol,time_series,cumulant_1_variance_om_min,cumulant_2_variance_om_min,tfs_param_variance_om_min,drift_coefficient_0_variance_om_min,average_error_variance_om_min,Cumulant 1,Cumulant 2,TFS amplitude,Drift,MAE_p,R2
CHFUSD=X,absolute log-return,-4,-6,-4,-1,-4,$0.147\pm0.010$,$0.419\pm0.055$,$29.086\pm1.978$,$-0.149\pm0.009$,$0.017$,$92.95\%$
CHFUSD=X,log-return,-4,-6,-4,-1,-4,$0.177\pm0.011$,$0.644\pm0.072$,$37.265\pm1.932$,$-0.203\pm0.008$,$0.023$,$94.49\%$
CHFUSD=X,log-return volatility,-4,-6,-4,-1,-4,$42.099\pm3.036$,$39966.082\pm4960.011$,$9675.491\pm539.398$,$-54.186\pm2.227$,$1451.876$,$95.46\%$
COP=X,absolute log-return,-4,-6,-4,-1,-4,$9.259\pm1.418$,$1505.344\pm453.160$,$1650.707\pm273.420$,$-7.398\pm1.399$,$136.085$,$85.57\%$
COP=X,log-return,-4,-6,-4,-1,-4,$9.302\pm1.426$,$1518.956\pm457.778$,$1657.960\pm274.998$,$-7.431\pm1.407$,$137.393$,$85.52\%$
COP=X,log-return volatility,-4,-6,-4,-1,-4,$1.232\pm0.201$,$26.718\pm8.547$,$219.936\pm38.706$,$-0.987\pm0.198$,$2.510$,$85.18\%$
EURUSD=X,absolute log-return,-4,-6,-4,-1,-4,$4.303\pm2791.447$,$0.266\pm0.313$,$0.702\pm456.555$,$0.353\pm233.698$,$0.077$,$69.05\%$
EURUSD=X,log-return,-4,-6,-4,-1,-4,$0.267\pm0.098$,$0.462\pm0.374$,$19.031\pm20.095$,$-0.096\pm0.091$,$0.093$,$73.94\%$
EURUSD=X,log-return volatility,-4,-6,-4,-1,-4,$54.002\pm9.952$,$24319.033\pm18245.044$,$4924.716\pm3792.164$,$-29.903\pm13.506$,$4555.204$,$81.45\%$
GBPUSD=X,absolute log-return,-4,-6,-4,-1,-4,$0.079\pm0.019$,$0.118\pm0.057$,$15.302\pm3.851$,$-0.086\pm0.016$,$0.014$,$80.23\%$
GBPUSD=X,log-return,-4,-6,-4,-1,-4,$0.106\pm0.026$,$0.241\pm0.104$,$23.336\pm4.634$,$-0.138\pm0.018$,$0.026$,$83.62\%$
GBPUSD=X,log-return volatility,-4,-6,-4,-1,-4,$69.337\pm18.457$,$93745.313\pm47742.431$,$13939.057\pm3563.137$,$-84.845\pm12.941$,$12220.604$,$85.84\%$
^BVSP,absolute log-return,-4,-6,-4,-1,-4,$-0.132\pm0.060$,$-0.528\pm0.174$,$40.645\pm5.654$,$-0.538\pm0.018$,$0.094$,$99.0\%$
^BVSP,log-return,-4,-6,-4,-1,-4,$-0.056\pm0.091$,$-0.403\pm0.718$,$84.775\pm11.304$,$-0.802\pm0.013$,$0.239$,$98.4\%$
^BVSP,log-return volatility,-4,-6,-4,-1,-4,$2.124\pm2.391$,$1250.629\pm1245.275$,$4866.371\pm341.722$,$-40.981\pm0.695$,$423.592$,$99.17\%$
^DJI,absolute log-return,-4,-6,-4,-1,-4,$0.114\pm0.012$,$0.251\pm0.086$,$21.628\pm5.783$,$-0.110\pm0.032$,$0.038$,$95.15\%$
^DJI,log-return,-4,-6,-4,-1,-4,$0.162\pm0.014$,$0.500\pm0.144$,$30.567\pm6.891$,$-0.159\pm0.037$,$0.066$,$95.44\%$
^DJI,log-return volatility,-4,-6,-4,-1,-4,$29.845\pm3.067$,$20228.901\pm5328.295$,$6692.340\pm1164.067$,$-39.040\pm5.570$,$2398.454$,$96.43\%$
^GSPC,absolute log-return,-4,-6,-4,-1,-4,$-0.073\pm0.027$,$-0.163\pm0.026$,$20.548\pm4.449$,$-0.380\pm0.026$,$0.029$,$99.55\%$
^GSPC,log-return,-4,-6,-4,-1,-4,$-0.070\pm0.032$,$-0.278\pm0.078$,$37.576\pm7.333$,$-0.510\pm0.008$,$0.095$,$99.13\%$
^GSPC,log-return volatility,-4,-6,-4,-1,-4,$-11.793\pm5.340$,$-3723.760\pm675.803$,$2916.137\pm822.519$,$-58.358\pm5.905$,$839.694$,$99.47\%$
^N225,log-return,-4,-6,-4,-1,-4,$-0.026\pm0.062$,$-0.033\pm0.083$,$16.971\pm10.949$,$-0.199\pm0.009$,$0.075$,$93.39\%$
^N225,absolute log-return,-4,-6,-4,-1,-4,$-7.538\pm501964.061$,$-0.027\pm0.047$,$0.040\pm2663.695$,$-17.176\pm1143674.855$,$0.041$,$93.4\%$
^N225,log-return volatility,-4,-6,-4,-1,-4,$1236.236\pm21284834.079$,$-2081.804\pm2361.643$,$-17.622\pm303387.609$,$2869.056\pm49391481.910$,$1779.553$,$94.87\%$
