symbol,window_size_mean,drift_degree,step_mean,time_series,p_norm,cumulant_1_mean,error_cumulant_1_mean,tfs_param_mean,error_tfs_param_mean,drift_coefficient_0_mean,error_drift_coefficient_0_mean,average_error_mean,window_size_variance,step_variance,cumulant_1_variance,error_cumulant_1_variance,cumulant_2_variance,error_cumulant_2_variance,tfs_param_variance,error_tfs_param_variance,drift_coefficient_1_variance,error_drift_coefficient_1_variance,average_error_variance
AUD=X,157,0,4239,absolute log-return,1,-2.5560674310634526e-06,3.807335273038456e-07,0.0019068343256954793,0.0003014341734630345,-1.0469044732006277e-05,0.0017136729649974453,0.0010611938631511512,157,4239,-0.26230419546484884,131148.84513843915,-4.69702465836211e-05,2.692020033804739e-05,1.9093984827109933e-05,9.546747492202602,-147.0653999096278,73530726.1329797,0.5445641001693948
AUD=X,209,0,4389,log-return,1,6.859242820988067e-08,2.0947944040027537e-08,-2.893166578786959e-05,1.590564769191126e-05,9.045789246056599e-07,8.966090946942674e-05,5.552345940946508e-05,157,4239,0.23189684553528442,149388.96620145312,-4.736626812367821e-05,4.1574303851709315e-05,-2.1772108235360295e-05,14.02567035923013,130.52076832317843,84081823.22169681,0.5510894082723689
AUD=X,210,0,4200,log-return volatility,1,-2.2945202118777357e-05,2.850619039349086e-06,0.029762753775537585,0.0019776573925545833,0.008734979002317341,0.010989009259290063,0.16596460102654764,157,4239,1.0954898412715453,879778.8972425131,-0.00018743788463873603,7.613036429995968e-05,-1.7993885720117142e-05,14.450740953537743,718.9421414228449,577376350.1029786,2.508777936451317
BHDUSD=X,201,0,5025,absolute log-return,1,-1.9668535039756847e-06,1.2713939387202572e-07,0.004504842701352793,0.00023350923558184742,-0.023263349712840418,0.001485317698300249,0.442003644543968,210,5040,0.0064861452377343665,472.2517746563181,-1.2964707167498805e-06,4.719495973237068e-06,-2.5780602560635736e-05,1.8779881835143863,1.0508316726620583,76489.45078478135,0.004344861345317732
BHDUSD=X,167,0,5010,log-return,1,-9.890632975625576e-09,7.489042810433175e-09,1.6001730526960381e-06,1.2820367753942866e-05,2.7946729388213157e-05,7.97744584333388e-05,0.0007545616934717189,210,5040,0.007228019683038431,1015.9095480305189,-1.0056015051013776e-06,4.780089554875993e-06,-1.8646987152048574e-05,2.6207979781812742,1.1503393424252801,161652.90032441946,0.0034402574205504603
BHDUSD=X,201,0,5025,log-return volatility,1,-9.828835987457055e-06,4.205869630257758e-06,0.021777211258267953,0.007724666243167125,0.2911966815340992,0.049135458468406557,5.532736949143336,209,5016,0.4003816332944574,320659.26439432934,0.00017438911392091684,0.00018364770991097758,4.8247947967131456e-05,38.6410561184339,2.9674772288244147,2376977.954265393,0.0231175303120563
BRL=X,223,0,4460,absolute log-return,1,-6.062121129440345e-07,1.0923637245604988e-07,0.0012711019683095991,8.286674827523481e-05,1.8518271951809528e-08,0.0004672308333231004,0.00033278645134722853,192,4416,-0.04220156893400632,65849.0253310912,-2.440079842145942e-07,3.000504240389573e-07,5.221751137607913e-07,0.814773423802885,-77.92495901047276,121589826.29777387,0.006729071183893612
BRL=X,153,0,4590,log-return,1,2.697424688551097e-07,4.412028776301446e-08,-0.00010775634456520775,3.86514931854339e-05,1.337656753663024e-06,0.0002236598891526592,0.00014571541363745172,192,4416,-0.0030362843235455044,12998.370554810868,-9.089964891405044e-08,9.67385730692608e-07,1.4343466101190137e-06,6.153533936549412,-31.62201071388836,135372734.68993372,0.007500760027903969
BRL=X,220,0,4400,log-return volatility,1,-0.00021436946308421147,1.692751622499788e-05,0.36576804135941726,0.01269574431174255,0.05764674364781985,0.07136507773607138,1.1529348726903295,192,4416,0.8059888171224963,1513549.6736424377,0.0007747636876918247,0.0041915293808357365,0.0001376955671237512,258.57616883855707,-1454.2884322379418,2730981264.551887,33.11500271072368
CAD=X,252,0,5040,absolute log-return,1,-4.0526543306118133e-07,5.5618934643232984e-08,0.0007118342516626508,4.7089724136539756e-05,3.958067075800099e-05,0.00027046263286370487,0.0007916134286187317,230,5060,9.585195084592439e-06,1.451010186383579e-06,1.1471414513850007e-07,5.56866346265914e-08,0.001273252908784292,0.0004548942481988394,-0.007088108220402175,0.0018847208439816605,0.0014513478370835199
